case_id,event_id,timestamp,timestamp_end,timestamp_confidence,source,artifact_type,event_type,action,user,host,process,parent_process,process_id,parent_process_id,command_line,file,file_path,file_hash,device,ip_src,ip_dst,port_src,port_dst,protocol,parent_event_id,related_event_id,relationship,evidence_id,provenance
M57-Jean,EVT-M57-Jean-DLL-28,,,unknown,memory,dlllist,module,loaded,,,winlogon.exe,,932,,,NETAPI32.dll,C:\\WINDOWS\\system32\\NETAPI32.dll,,,,,,,,,,,M57-Jean-MEM-DLL-28,Volatility 3 windows.dlllist from M57-Jean memory image
M57-Jean,EVT-M57-Jean-DLL-29,,,unknown,memory,dlllist,module,loaded,,,winlogon.exe,,932,,,USERENV.dll,C:\\WINDOWS\\system32\\USERENV.dll,,,,,,,,,,,M57-Jean-MEM-DLL-29,Volatility 3 windows.dlllist from M57-Jean memory image
M57-Jean,EVT-M57-Jean-DLL-30,,,unknown,memory,dlllist,module,loaded,,,winlogon.exe,,932,,,PSAPI.DLL,C:\\WINDOWS\\system32\\PSAPI.DLL,,,,,,,,,,,M57-Jean-MEM-DLL-30,Volatility 3 windows.dlllist from M57-Jean memory image
M57-Jean,EVT-M57-Jean-DLL-31,,,unknown,memory,dlllist,module,loaded,,,winlogon.exe,,932,,,REGAPI.dll,C:\\WINDOWS\\system32\\REGAPI.dll,,,,,,,,,,,M57-Jean-MEM-DLL-31,Volatility 3 windows.dlllist from M57-Jean memory image
M57-Jean,EVT-M57-Jean-DLL-32,,,unknown,memory,dlllist,module,loaded,,,winlogon.exe,,932,,,SETUPAPI.dll,C:\\WINDOWS\\system32\\SETUPAPI.dll,,,,,,,,,,,M57-Jean-MEM-DLL-32,Volatility 3 windows.dlllist from M57-Jean memory image
M57-Jean,EVT-M57-Jean-DLL-33,,,unknown,memory,dlllist,module,loaded,,,winlogon.exe,,932,,,VERSION.dll,C:\\WINDOWS\\system32\\VERSION.dll,,,,,,,,,,,M57-Jean-MEM-DLL-33,Volatility 3 windows.dlllist from M57-Jean memory image
M57-Jean,EVT-M57-Jean-DLL-34,,,unknown,memory,dlllist,module,loaded,,,winlogon.exe,,932,,,WINSTA.dll,C:\\WINDOWS\\system32\\WINSTA.dll,,,,,,,,,,,M57-Jean-MEM-DLL-34,Volatility 3 windows.dlllist from M57-Jean memory image
M57-Jean,EVT-M57-Jean-DLL-35,,,unknown,memory,dlllist,module,loaded,,,winlogon.exe,,932,,,WINTRUST.dll,C:\\WINDOWS\\system32\\WINTRUST.dll,,,,,,,,,,,M57-Jean-MEM-DLL-35,Volatility 3 windows.dlllist from M57-Jean memory image
M57-Jean,EVT-M57-Jean-DLL-36,,,unknown,memory,dlllist,module,loaded,,,winlogon.exe,,932,,,IMAGEHLP.dll,C:\\WINDOWS\\system32\\IMAGEHLP.dll,,,,,,,,,,,M57-Jean-MEM-DLL-36,Volatility 3 windows.dlllist from M57-Jean memory image
M57-Jean,EVT-M57-Jean-DLL-37,,,unknown,memory,dlllist,module,loaded,,,winlogon.exe,,932,,,WS2_32.dll,C:\\WINDOWS\\system32\\WS2_32.dll,,,,,,,,,,,M57-Jean-MEM-DLL-37,Volatility 3 windows.dlllist from M57-Jean memory image
M57-Jean,EVT-M57-Jean-DLL-38,,,unknown,memory,dlllist,module,loaded,,,winlogon.exe,,932,,,WS2HELP.dll,C:\\WINDOWS\\system32\\WS2HELP.dll,,,,,,,,,,,M57-Jean-MEM-DLL-38,Volatility 3 windows.dlllist from M57-Jean memory image
M57-Jean,EVT-M57-Jean-DLL-39,,,unknown,memory,dlllist,module,loaded,,,winlogon.exe,,932,,,IMM32.DLL,C:\\WINDOWS\\system32\\IMM32.DLL,,,,,,,,,,,M57-Jean-MEM-DLL-39,Volatility 3 windows.dlllist from M57-Jean memory image
M57-Jean,EVT-M57-Jean-DLL-40,,,unknown,memory,dlllist,module,loaded,,,winlogon.exe,,932,,,MSGINA.dll,C:\\WINDOWS\\system32\\MSGINA.dll,,,,,,,,,,,M57-Jean-MEM-DLL-40,Volatility 3 windows.dlllist from M57-Jean memory image
M57-Jean,EVT-M57-Jean-DLL-41,,,unknown,memory,dlllist,module,loaded,,,winlogon.exe,,932,,,COMCTL32.dll,C:\\WINDOWS\\system32\\COMCTL32.dll,,,,,,,,,,,M57-Jean-MEM-DLL-41,Volatility 3 windows.dlllist from M57-Jean memory image
M57-Jean,EVT-M57-Jean-DLL-42,,,unknown,memory,dlllist,module,loaded,,,winlogon.exe,,932,,,ODBC32.dll,C:\\WINDOWS\\system32\\ODBC32.dll,,,,,,,,,,,M57-Jean-MEM-DLL-42,Volatility 3 windows.dlllist from M57-Jean memory image
M57-Jean,EVT-M57-Jean-DLL-43,,,unknown,memory,dlllist,module,loaded,,,winlogon.exe,,932,,,comdlg32.dll,C:\\WINDOWS\\system32\\comdlg32.dll,,,,,,,,,,,M57-Jean-MEM-DLL-43,Volatility 3 windows.dlllist from M57-Jean memory image
M57-Jean,EVT-M57-Jean-DLL-44,,,unknown,memory,dlllist,module,loaded,,,winlogon.exe,,932,,,SHELL32.dll,C:\\WINDOWS\\system32\\SHELL32.dll,,,,,,,,,,,M57-Jean-MEM-DLL-44,Volatility 3 windows.dlllist from M57-Jean memory image
M57-Jean,EVT-M57-Jean-DLL-45,,,unknown,memory,dlllist,module,loaded,,,winlogon.exe,,932,,,SHLWAPI.dll,C:\\WINDOWS\\system32\\SHLWAPI.dll,,,,,,,,,,,M57-Jean-MEM-DLL-45,Volatility 3 windows.dlllist from M57-Jean memory image
M57-Jean,EVT-M57-Jean-DLL-46,,,unknown,memory,dlllist,module,loaded,,,winlogon.exe,,932,,,comctl32.dll,C:\\WINDOWS\\WinSxS\\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83\\comctl32.dll,,,,,,,,,,,M57-Jean-MEM-DLL-46,Volatility 3 windows.dlllist from M57-Jean memory image
M57-Jean,EVT-M57-Jean-DLL-47,,,unknown,memory,dlllist,module,loaded,,,winlogon.exe,,932,,,odbcint.dll,C:\\WINDOWS\\system32\\odbcint.dll,,,,,,,,,,,M57-Jean-MEM-DLL-47,Volatility 3 windows.dlllist from M57-Jean memory image
M57-Jean,EVT-M57-Jean-DLL-48,,,unknown,memory,dlllist,module,loaded,,,winlogon.exe,,932,,,SHSVCS.dll,C:\\WINDOWS\\system32\\SHSVCS.dll,,,,,,,,,,,M57-Jean-MEM-DLL-48,Volatility 3 windows.dlllist from M57-Jean memory image
M57-Jean,EVT-M57-Jean-DLL-49,,,unknown,memory,dlllist,module,loaded,,,winlogon.exe,,932,,,sfc.dll,C:\\WINDOWS\\system32\\sfc.dll,,,,,,,,,,,M57-Jean-MEM-DLL-49,Volatility 3 windows.dlllist from M57-Jean memory image
M57-Jean,EVT-M57-Jean-DLL-50,,,unknown,memory,dlllist,module,loaded,,,winlogon.exe,,932,,,sfc_os.dll,C:\\WINDOWS\\system32\\sfc_os.dll,,,,,,,,,,,M57-Jean-MEM-DLL-50,Volatility 3 windows.dlllist from M57-Jean memory image
M57-Jean,EVT-M57-Jean-DLL-51,,,unknown,memory,dlllist,module,loaded,,,winlogon.exe,,932,,,ole32.dll,C:\\WINDOWS\\system32\\ole32.dll,,,,,,,,,,,M57-Jean-MEM-DLL-51,Volatility 3 windows.dlllist from M57-Jean memory image
